category,top_keys
政治,"[('黃重凱', 24), ('柳惠千', 13), ('喬建中', 12), ('徐國勇', 11), ('季欽', 8), ('許舒博', 7), ('游錫堃', 6), ('侯富議', 6), ('蘇貞昌', 5), ('吳釗燮', 4), ('許佑格', 4), ('范惠君', 4), ('歐布萊恩', 4), ('陳其邁', 3), ('柯文哲', 3), ('陳智菡', 3), ('黃鼎翔', 3), ('王同義', 3), ('王美惠', 3), ('許邁德', 2), ('蔣萬安', 2), ('蔡練生', 2), ('沈榮津', 2), ('朱冠甍', 1), ('蘇紫雲', 1), ('蔣經國', 1), ('陳長江', 1), ('沈啟明', 1), ('周艷', 1), ('劉瑞寧', 1), ('賴新峰', 1), ('王奕然', 1), ('惠楊', 1), ('申濱', 1), ('李華', 1), ('李群', 1), ('施博祥', 1), ('蘇莉莉', 1), ('林栢梧', 1), ('葉義深', 1), ('蔡福松', 1), ('熊厚基', 1), ('陳元泰', 1), ('張仁澤', 1), ('黃重凱平', 1), ('葉宜津', 1), ('蔡崇義', 1), ('賴鼎銘', 1), ('王文淵', 1), ('洪孟楷', 1), ('吳彬福', 1), ('吳世峰', 1), ('江金亮', 1), ('劉浩帆', 1), ('張健翔', 1), ('何威克', 1), ('虞德忠', 1), ('劉永祥', 1), ('鄭育騰', 1), ('何子雨', 1)]"
科技,"[('林柏亨', 6), ('吳偉仁', 5), ('包淳偉', 4), ('黃晨瑋', 4), ('廖俊智', 4), ('波博', 3), ('黃文山', 3), ('艾偉', 3), ('王金燦', 2), ('庫克', 2), ('曾信超', 2), ('波皮斯庫', 2), ('王兆璋', 1), ('希塔拉姆', 1), ('吳宗信', 1), ('葉均蔚', 1), ('楊勇', 1), ('陳信安', 1), ('Tim哥', 1), ('夏哈', 1), ('Tim Cook）', 1), ('林文燦', 1), ('陳祺助', 1), ('林全能', 1), ('柯文哲', 1), ('侯友宜', 1), ('簡又新', 1)]"
運動,"[('林昀儒', 24), ('鄭怡靜', 24), ('莊智淵', 17), ('陳將双', 12), ('潘武雄', 10), ('陳建安', 8), ('布雷迪', 7), ('布魯娜', 6), ('賈奈特', 6), ('艾倫', 6), ('塞爾蒂克', 5), ('李恩芯', 5), ('王志庭', 4), ('施冠宇', 4), ('加奇尼', 4), ('樂天', 3), ('安宰賢', 3), ('巴特瑞', 3), ('梁家榮', 3), ('黃子鵬', 3), ('高飛', 3), ('郭俊麟', 3), ('陳冠宇', 3), ('皮爾斯', 3), ('帕森斯', 3), ('岱縈', 2), ('筠熹', 2), ('摩賈德', 2), ('林鍾勳', 2), ('張禹珍', 2), ('周哲宇', 2), ('張志豪', 2), ('王威晨', 2), ('江國豪', 2), ('官大元', 2), ('施子謙', 2), ('陳思羽', 2), ('約爾吉奇', 2), ('浦韋青', 1), ('胡瓜', 1), ('林襄', 1), ('霖霖', 1), ('伊婷（Kira）', 1), ('詩媛', 1), ('佳琳', 1), ('雅涵', 1), ('婉卉', 1), ('宋宋', 1), ('Tru', 1), ('Manika Batra', 1), ('林立', 1), ('何恆佑', 1), ('李丞齡', 1), ('萬昭清', 1), ('蘇俊羽', 1), ('王躍霖', 1), ('朱俊祥', 1), ('林立安', 1), ('藍寅倫', 1), ('林泓育', 1), ('林柏安', 1), ('黃明真', 1), ('邱邦', 1), ('曾傳昇安', 1), ('張祐嘉', 1), ('劉基鴻', 1), ('李展毅', 1), ('董秉軒', 1), ('潘志芳', 1), ('陳韋霖', 1), ('林逸翔', 1), ('曾峻岳', 1), ('高國輝', 1), ('陽春', 1), ('陽耀勳', 1), ('戴培峰', 1), ('申皓瑋', 1), ('江坤宇', 1), ('林書逸安', 1), ('吳哲源', 1), ('王奕凱', 1), ('吳俊偉', 1), ('王鏡銘', 1), ('林智平', 1), ('林政華', 1), ('蔡鎮宇', 1), ('林子豪', 1), ('高國慶', 1), ('陳傑憲', 1), ('劉予承', 1), ('伊藤美誠', 1), ('劉馨尹', 1), ('孫穎莎', 1), ('王曼昱', 1), ('樂天桃猿', 1), ('石川佳純', 1), ('瑪泰洛娃', 1), ('Ray Allen', 1), ('唐西奇', 1), ('丁威迪', 1), ('習近平', 1), ('廖振珽', 1), ('曾尖', 1), ('賴清德', 1), ('陳信安', 1), ('吳思瑤', 1), ('潘文忠', 1), ('張俊生', 1), ('鄭名斈', 1), ('謝銘駿', 1), ('黃子芸', 1)]"
證卷,"[('林耕億', 3), ('葉獻文', 2), ('李昌鴻', 2), ('黃水可', 1)]"
產經,"[('陳耀祥', 17), ('朱澤民', 9), ('曾博昇', 6), ('杜書全', 5), ('蘇松輝', 4), ('趙正宇', 3), ('林崇燾', 3), ('童振源', 3), ('郭幸容', 2), ('林德福', 2), ('吳秉叡', 2), ('李昆澤', 2), ('丁予嘉', 1), ('魏啟林', 1), ('佛里奇', 1), ('史屈特', 1), ('Susannah Streeter）', 1), ('林楚茵', 1), ('許智傑', 1), ('林俊憲', 1), ('陳素月', 1), ('劉世芳', 1), ('費多羅夫', 1), ('林見松', 1), ('陳阡蕙', 1), ('李玉香', 1), ('高嘉瑜', 1), ('許淑華', 1)]"
娛樂,"[('唐川', 20), ('歸亞蕾', 18), ('炎亞綸', 11), ('威廉赫特', 10), ('莊凱勛', 8), ('楊藜', 8), ('林暉閔', 7), ('納豆', 7), ('黃新皓', 6), ('珍康萍', 6), ('曹格', 6), ('侯友宜', 5), ('黃子佼', 5), ('百白', 4), ('孟耿如', 4), ('吳慷仁', 4), ('林心如', 4), ('郭宇宸', 3), ('茶金', 3), ('温昇豪', 3), ('郭子乾', 3), ('葉如芬', 3), ('楊雅喆', 3), ('連俞涵', 2), ('桂綸鎂', 2), ('威爾史密斯', 2), ('蔡英文', 2), ('林思宇', 2), ('陸夏', 2), ('張書豪', 2), ('張睿家', 2), ('姚愛寗', 2), ('林煒傑', 1), ('李見騰', 1), ('黃云歆', 1), ('葉泓毅', 1), ('郝心翔', 1), ('柏霖', 1), ('林郁智', 1), ('阿Ken', 1), ('林暐恆', 1), ('徐熙娣', 1), ('黃路梓茵', 1), ('陳嘉樺', 1), ('彭佳慧', 1), ('藍心湄', 1), ('張可昀', 1), ('蔡嘉茵', 1), ('大威', 1), ('小威', 1), ('喬安娜史坎蘭', 1), ('特洛伊科特蘇爾', 1), ('亞莉安娜', 1), ('黛博塞', 1), ('格雷格弗萊瑟', 1), ('周冠威', 1), ('理查', 1), ('曾均崧', 1), ('川哥', 1), ('川爸', 1), ('日頭哥', 1), ('天眼', 1), ('劉伯溫傳奇', 1), ('陂塘', 1), ('威爾', 1), ('赫特', 1), ('玉米', 1), ('姚愛寗心', 1), ('吳嘉星', 1), ('李安', 1), ('梅莉史翠普', 1), ('多曼尼', 1), ('劉品言', 1), ('謝瓊煖', 1), ('謝欣穎', 1), ('江宜蓉', 1)]"
生活,"[('陳時中', 13), ('彭佳偉', 13), ('黃恩鴻', 5), ('李宗宏', 3), ('江文全', 2), ('邱基旭', 2), ('蔡佩君', 2), ('王力宏', 1), ('王惠美', 1), ('柯文哲', 1)]"
國際,"[('蘇利文', 5), ('楊潔篪', 4), ('阿布拉莫維奇', 3), ('蒲亭', 3), ('米佐塔基斯', 3), ('羅傑斯', 3), ('波多利雅科', 3), ('切爾西', 2), ('潘恩', 2), ('拉夫羅夫', 2), ('阿布杜拉希安', 2), ('哈蒂柏札德', 2), ('奧德洛', 2), ('霍恩', 2), ('蕭茲', 2), ('布魯塞爾', 1), ('Marise Payne）', 1), ('米勒', 1), ('Alexey Miller）', 1), ('穆罕穆德', 1), ('Sheikh ', 1), ('波瑞爾', 1), ('普萊斯', 1), ('Vladimir Putin）', 1), ('拜登（Joe Biden）', 1), ('習近平', 1), ('岸田文雄', 1), ('岸田', 1), ('福山哲郎', 1), ('福山', 1)]"
社會,"[('戴寧', 8), ('孫道存', 7), ('鄭文燦', 6), ('孫芸芸', 4), ('孫瑩瑩', 3), ('孫智宏', 3), ('張女', 2), ('陳澤嘉', 2), ('吳逸萍', 2), ('莊英壽', 2), ('李作宏', 2), ('馬男', 1), ('洪裕翔', 1), ('何念慈育', 1), ('廖偉志', 1), ('廖鎮漢', 1), ('王國材', 1), ('蘇男', 1), ('劉育麟', 1), ('陳依芳', 1), ('邱仁德', 1), ('林明裕', 1), ('蔡英文', 1)]"
文化,"[('吳密察', 15), ('平珩', 10), ('吳蠻', 7), ('潘孟安', 6), ('吳思瑤', 5), ('楊書涵', 5), ('李其叡', 5), ('張徐展', 5), ('蔡采崴', 4), ('陳悅宜', 3), ('孫翠鳳', 3), ('朱天文', 3), ('顏伯駿', 3), ('鄭志偉', 3), ('朱安麗', 3), ('柳美', 3), ('大衛．胡斯', 3), ('李安', 2), ('譚盾', 2), ('阿儒瓦苡．篙瑪竿', 2), ('朱西甯', 2), ('李永得', 2), ('辜達齊', 2), ('黃致凱', 2), ('郭耀仁', 2), ('方志友', 2), ('謝瓊煖', 2), ('蔡燦得', 2), ('陳家逵', 2), ('張廖萬堅', 2), ('楊文信', 2), ('林佳瑩', 2), ('葉澤山', 2), ('郭春美', 2), ('林曼麗', 2), ('戴維斯', 2), ('侯傳安', 2), ('瑪芮娜', 1), ('羅曼菲', 1), ('武玉玲', 1), ('阿儒瓦苡．篙瑪', 1), ('安．芙拉娜根', 1), ('范惠君', 1), ('施百俊', 1), ('劉瑞琪', 1), ('吳侑函', 1), ('徹摩', 1), ('蘇達', 1), ('邱祖胤', 1), ('劉慕沙', 1), ('朱天衣', 1), ('吳桓中', 1), ('張若瑤', 1), ('陳其邁', 1), ('史哲', 1), ('狄志杰', 1), ('元介', 1), ('朱宥琳', 1), ('陳建凱', 1), ('蘇銘', 1), ('楊秀卿', 1), ('吳栯禔', 1), ('費利佩岡巴', 1), ('茱莉泰默', 1), ('黃國書', 1), ('萬美玲', 1), ('趙季平', 1), ('董榕森', 1), ('鄭思森', 1), ('關迺忠', 1), ('林奕華', 1), ('彭子程', 1), ('菅芒花', 1), ('李孟坡', 1), ('理查．史特勞斯', 1), ('穆勒', 1), ('簡碧青', 1), ('彭靖', 1), ('撒部．噶照', 1), ('陳昭香', 1), ('張秀琴', 1), ('阿婆蘭', 1), ('柴科夫斯基', 1), ('斯特內斯', 1), ('蕭士塔科維契', 1)]"
