category,top_keys
政治,"[('台灣', 17), ('中國', 9), ('媒體', 8), ('新聞', 8), ('地區', 8), ('蒙特內哥羅', 6), ('國際', 6), ('國家', 6), ('人民', 6), ('劉世忠', 5), ('美國', 5), ('台海', 4), ('巴爾幹', 4), ('方式', 4), ('軍事', 4), ('國務院', 4), ('黃捷', 4), ('戰爭', 3), ('局勢', 3), ('民主', 3), ('每日', 3), ('社會', 3), ('融資', 3), ('大陸', 3), ('國籍', 3), ('匈牙利', 2), ('代表', 2), ('大使館', 2), ('烏俄', 2), ('經驗', 2), ('歐洲', 2), ('計畫', 2), ('當地', 2), ('世界', 2), ('歐派', 2), ('記者', 2), ('總統', 2), ('成員國', 2), ('財政', 2), ('年度', 2), ('預算案', 2), ('嚇阻力', 2), ('關係', 2), ('外國', 2), ('軍援', 2), ('方案', 2), ('能力', 2), ('我國', 2), ('條例', 2), ('條文', 2), ('草案', 2), ('公民', 2), ('版本', 2), ('法律', 2), ('誓詞', 2), ('義務', 2), ('僵局', 1), ('東歐', 1), ('衝突', 1), ('轄國', 1), ('台海局勢', 1), ('讀者', 1), ('經貿', 1), ('發展', 1), ('主權', 1), ('中華', 1), ('共和', 1), ('必要', 1), ('俄烏', 1), ('台灣人', 1), ('威權', 1), ('民主生活', 1), ('決心', 1), ('利益', 1), ('成員', 1), ('手段', 1), ('現狀', 1), ('每日新聞', 1), ('北京', 1), ('半島', 1), ('響力', 1), ('問題', 1), ('債務', 1), ('危機', 1), ('成效', 1), ('力量', 1), ('巴爾幹國家', 1), ('巴爾幹島', 1), ('銀行', 1), ('職業', 1), ('訓練', 1), ('學子', 1), ('產官學', 1), ('人士', 1), ('智慧', 1), ('城市', 1), ('論壇', 1), ('紙本', 1), ('要求', 1), ('蒙語', 1)]"
科技,"[('馬斯克', 6), ('原始碼', 6), ('苯胺', 6), ('火箭', 5), ('公司', 4), ('模型', 4), ('科思', 4), ('日本', 3), ('船舶', 3), ('人員', 3), ('化學', 3), ('化工', 3), ('工業', 3), ('大學', 3), ('小型', 2), ('民間', 2), ('發射場', 2), ('紀伊', 2), ('衛星', 2), ('智慧', 2), ('科技', 2), ('德國', 2), ('石油', 2), ('原料', 2), ('阿亨', 2), ('全球', 2), ('計畫', 2), ('列佛庫森', 2), ('二氧化碳', 2), ('太空', 1), ('原因', 1), ('海域', 1), ('發射', 1), ('和歌山縣', 1), ('串本町', 1), ('政府', 1), ('軌道', 1), ('現場', 1), ('民眾', 1), ('消息', 1), ('時事', 1), ('通信社', 1), ('海上', 1), ('區域', 1), ('日程', 1), ('讀賣', 1), ('新聞', 1), ('一號機', 1), ('冠狀病毒', 1), ('疾病', 1), ('疫情', 1), ('俄羅斯', 1), ('烏克蘭', 1), ('美國', 1), ('富豪', 1), ('人工', 1), ('挑戰', 1), ('旗下', 1), ('機器人', 1), ('初衷', 1), ('路透社', 1), ('警告', 1), ('微軟', 1), ('董事會', 1), ('舊稱', 1), ('社群', 1), ('平台X', 1), ('法國', 1), ('企業', 1), ('行列', 1), ('需求', 1), ('開發商', 1), ('投資人', 1), ('柯斯拉', 1), ('安德立森霍洛維茲', 1), ('創辦人', 1), ('安德立森', 1), ('創投家便', 1), ('專家', 1), ('分子', 1), ('武器', 1), ('人類', 1), ('產業', 1), ('力行', 1), ('聚合物', 1), ('大廠', 1), ('基礎', 1), ('化學品', 1), ('床墊', 1), ('扶手椅', 1), ('建築', 1), ('材料', 1), ('染料', 1), ('醫藥', 1), ('橡膠', 1), ('樹脂', 1), ('香料', 1), ('法新社', 1), ('規模', 1), ('地球', 1)]"
運動,"[('陳念琴', 14), ('奧運', 13), ('柯爾', 9), ('運動', 9), ('洋基', 7), ('台灣', 6), ('門票', 5), ('回合', 5), ('計畫', 5), ('民眾', 5), ('拳擊', 4), ('科學', 4), ('春訓', 3), ('投手', 3), ('資格賽', 3), ('女子', 3), ('柯文明', 3), ('陳美燕', 3), ('生活', 3), ('大聯盟', 2), ('核磁共振', 2), ('布恩', 2), ('熱身賽', 2), ('問題', 2), ('戰績', 2), ('表現', 2), ('義大利', 2), ('好手', 2), ('研究所', 2), ('世界', 2), ('錦標賽', 2), ('烏克蘭', 2), ('賽事', 2), ('裁判', 2), ('積分', 2), ('運科', 2), ('國際', 2), ('健身展', 2), ('社會', 2), ('悠優森', 2), ('莊智淵', 2), ('美國', 1), ('職棒', 1), ('紐約', 1), ('消息', 1), ('王牌', 1), ('右肘', 1), ('開幕', 1), ('總教練', 1), ('佛羅里達州', 1), ('葡萄柚', 1), ('聯盟', 1), ('感覺', 1), ('程度', 1), ('傷痛', 1), ('防禦率', 1), ('生涯', 1), ('榮譽賽揚獎', 1), ('小傷', 1), ('傷兵', 1), ('名單', 1), ('布恩說', 1), ('球團', 1), ('右肘，', 1), ('意見', 1), ('結果', 1), ('多倫多', 1), ('特律老虎', 1), ('右肘不適接受', 1), ('開幕戰', 1), ('客場', 1), ('休士頓', 1), ('空人', 1), ('先發主投出', 1), ('變數', 1), ('紀錄', 1), ('明星', 1), ('外野手', 1), ('蘇鐸', 1), ('陣容', 1), ('大將', 1), ('團隊', 1), ('戰力', 1), ('打擊', 1), ('輪值', 1), ('羅登', 1), ('史卓曼', 1), ('柯特斯', 1), ('傷勢', 1), ('困擾', 1), ('可靠性', 1), ('密特', 1), ('世界區', 1), ('檔案', 1), ('生日', 1), ('身高', 1), ('體重', 1), ('學歷', 1), ('清華', 1), ('大學', 1)]"
證卷,[]
產經,[]
娛樂,[]
生活,[]
國際,[]
社會,[]
文化,[]
