category,top_keys
政治,"[('黃重凱', 24), ('柳惠千', 13), ('喬建中', 12), ('徐國勇', 11), ('季欽', 8)]"
科技,"[('林柏亨', 6), ('吳偉仁', 5), ('包淳偉', 4), ('黃晨瑋', 4), ('廖俊智', 4)]"
運動,"[('林昀儒', 24), ('鄭怡靜', 24), ('莊智淵', 17), ('陳將双', 12), ('潘武雄', 10)]"
證卷,"[('林耕億', 3), ('葉獻文', 2), ('李昌鴻', 2), ('黃水可', 1)]"
產經,"[('陳耀祥', 17), ('朱澤民', 9), ('曾博昇', 6), ('杜書全', 5), ('蘇松輝', 4)]"
娛樂,"[('唐川', 20), ('歸亞蕾', 18), ('炎亞綸', 11), ('威廉赫特', 10), ('莊凱勛', 8)]"
生活,"[('陳時中', 13), ('彭佳偉', 13), ('黃恩鴻', 5), ('李宗宏', 3), ('江文全', 2)]"
國際,"[('蘇利文', 5), ('楊潔篪', 4), ('阿布拉莫維奇', 3), ('蒲亭', 3), ('米佐塔基斯', 3)]"
社會,"[('戴寧', 8), ('孫道存', 7), ('鄭文燦', 6), ('孫芸芸', 4), ('孫瑩瑩', 3)]"
文化,"[('吳密察', 15), ('平珩', 10), ('吳蠻', 7), ('潘孟安', 6), ('吳思瑤', 5)]"
兩岸,"[('薛達', 6), ('林鄭月娥', 5), ('劉兆佳', 5), ('雷正龍', 3), ('趙立堅', 3)]"
全部,"[('黃重凱', 24), ('林昀儒', 24), ('鄭怡靜', 24), ('唐川', 20), ('歸亞蕾', 18)]"
