item_id,date,title,category,content,link,photo_link
暫無,2025-03-28,首批戰鬥組學員換訓勇鷹 飛官養成精進為3階段2機種,政治,暫無,暫無,暫無
暫無,2025-03-28,蕭旭岑批賴政府限縮兩岸交流 陸委會：論調重複多次,政治,暫無,暫無,暫無
暫無,2025-03-28,英國駐台代表包瓊郁：盼台英在科學技術有更多合作,政治,暫無,暫無,暫無
暫無,2025-03-28,總統：台英雙邊貿易深具產業互補優勢 盼擴大交流,政治,暫無,暫無,暫無
暫無,2025-03-28,緬甸地震  外交部：瓦城1名台灣人因建物倒塌失聯,政治,暫無,暫無,暫無
暫無,2025-03-28,緬甸地震  賴總統：如有需要台灣願提供必要協助,政治,暫無,暫無,暫無
暫無,2025-03-28,葉菊蘭：沒有主權獨立國家 談什麼言論自由,政治,暫無,暫無,暫無
暫無,2025-03-28,國合會與美大學合作 AI助攻索馬利蘭醫療改革,政治,暫無,暫無,暫無
暫無,2025-03-28,瓜地馬拉咖啡胖卡啟動 陳明祺盼進一步鞏固台瓜關係,政治,暫無,暫無,暫無
暫無,2025-03-28,緬甸地震 卓榮泰：請外交部提供當地台灣人必要協助,政治,暫無,暫無,暫無
暫無,2025-03-28,民進黨：1席都不能掉 做所有立委最強力後盾,政治,暫無,暫無,暫無
暫無,2025-03-28,綠抗議25日違法會議占主席台  立院空轉一整天,政治,暫無,暫無,暫無
暫無,2025-03-28,電價凍漲  政院：盼立院支持追加撥補台電千億,政治,暫無,暫無,暫無
暫無,2025-03-28,日設立統合作戰司令部 日退將：台灣有事可快速行動,政治,暫無,暫無,暫無
暫無,2025-03-28,一階補件審查 8綠委罷免案可進入二階連署,政治,暫無,暫無,暫無
暫無,2025-03-28,日退役上將：台日命運共同體 須確保不落入中國,政治,暫無,暫無,暫無
暫無,2025-03-28,柯文哲續押 黃國昌：無法接受將提抗告,政治,暫無,暫無,暫無
暫無,2025-03-28,副總統：強化全社會防衛韌性 先進國家重要議題之一,政治,暫無,暫無,暫無
暫無,2025-03-28,罷團雙北共享辦公衝高連署 藍批為罷免而罷免,政治,暫無,暫無,暫無
暫無,2025-03-28,金防部拂曉太武操演 火砲射擊驗證外島作戰能力,政治,暫無,暫無,暫無
暫無,2025-03-28,民進黨：清明連假將至 號召青年返鄉衝罷免二階連署,政治,暫無,暫無,暫無
暫無,2025-03-28,首艘高緯度遠洋巡護船安龍 總統：國艦國造不止步[影],政治,暫無,暫無,暫無
暫無,2025-03-28,甘利明：台日需加強半導體合作 創造無風險AI世界,政治,暫無,暫無,暫無
暫無,2025-03-28,國民黨民調：71%民眾支持還錢於民,政治,暫無,暫無,暫無
暫無,2025-03-28,陳金德批在野黨搶錢搶權  衝擊花東與中捷等建設,政治,暫無,暫無,暫無
暫無,2025-03-28,中選會：反廢死反戒嚴公投案是否符定義 仍待集思廣益,政治,暫無,暫無,暫無
暫無,2025-03-28,江和樹爆卸任主委被要求簽離職 周榆修公開致歉,政治,暫無,暫無,暫無
暫無,2025-03-28,在野批綠議場貼封條  吳思瑤：查封非法、違憲惡行,政治,暫無,暫無,暫無
暫無,2025-03-28,民進黨團占據主席台  傅崐萁：秉持善意靜候開會,政治,暫無,暫無,暫無
暫無,2025-03-28,區桂芝受訪惹議 鄭英耀：若違反規定可依法懲戒,政治,暫無,暫無,暫無
暫無,2025-03-28,北一女師區桂芝央視受訪 邱垂正：顛倒是非配合統戰,政治,暫無,暫無,暫無
暫無,2025-03-28,李進勇：立院首次交付公投 是否符合要件需集思廣益,政治,暫無,暫無,暫無
暫無,2025-03-28,管制陸生修讀關鍵核心技術 鄭英耀郭智輝都支持,政治,暫無,暫無,暫無
暫無,2025-03-28,海軍操演遭中國漁船監控掌握？顧立雄：不太可能,政治,暫無,暫無,暫無
暫無,2025-03-28,中共39機艦船台海周邊活動 國軍嚴密監控,政治,暫無,暫無,暫無
暫無,2025-03-28,立院朝野將掀攻防  卓榮泰盼溝通順利,政治,暫無,暫無,暫無
暫無,2025-03-28,劉世芳遭列台獨幫凶：國台辦間接承認台灣有主權,政治,暫無,暫無,暫無
暫無,2025-03-28,美祭汽車關稅  卓榮泰估衝擊小盼國內業者圖強猛進,政治,暫無,暫無,暫無
暫無,2025-03-28,美參院外委會通過法案 要求國務院檢視與台交往限制,政治,暫無,暫無,暫無
暫無,2025-03-28,民進黨團議場貼封條占主席台 柯建銘：不會坐以待斃,政治,暫無,暫無,暫無
暫無,2025-03-28,美準部長：空軍須擁核實力 發展無人系統阻台海衝突,政治,暫無,暫無,暫無
